Layers,Max_iter,MSE
"(30, 3, 1)",4000,0.5655856682404362
"(40, 2)",4000,0.5816859094320068
"(10, 10)",4000,0.5732052271922369
"(3, 10, 2)",4000,0.5862244554926748
"(10,)",4000,0.5888303915641311
"(20,)",4000,0.6600520908593278
"(30,)",4000,0.6110794830262198
"(40,)",4000,0.6773787433415704
"(50,)",4000,0.7421581764304186
"(8,)",4000,0.5978093798257653
"(8, 8)",4000,0.5655699085830188
"(8, 5, 2)",4000,0.5815663527711467
"(5, 5)",4000,0.5845202750078812
"(10, 10)",4000,0.5732052271922369
"(20, 5)",4000,0.588879038795559
"(5, 20)",4000,0.590859551679733
"(15, 6)",4000,0.5904727293835305
"(6, 6)",4000,0.5746164588134123
"(6, 6, 2)",4000,0.574504789587103
"(5,)",4000,0.5846112065989255
"(5, 10, 2)",4000,0.5811621144864061
"(10, 10)",4000,0.5732052271922369
"(5, 10)",4000,0.5838096371122479
"(2,)",4000,0.5785783249617471
"(2, 2)",4000,0.5700579311749105
"(2, 2, 2)",4000,0.567866266328925
"(2, 2, 2, 2)",4000,0.5696889197138405
