Layers,Max_iter,MSE
"(30, 3, 1)",4000,0.7271242935147405
"(40, 2)",4000,0.5134121974335587
"(10, 10)",4000,0.3368337152221574
"(3, 10, 2)",4000,0.6307140071740148
"(10,)",4000,0.2405816696726337
"(20,)",4000,0.31034553237559165
"(30,)",4000,0.5526383864781595
"(40,)",4000,0.43294620051054994
"(50,)",4000,0.49020234750725883
"(8,)",4000,0.2506857709588917
"(8, 8)",4000,0.33192021301010183
"(8, 5, 2)",4000,0.5731276311668354
"(5, 5)",4000,0.35179145549062163
"(10, 10)",4000,0.3368337152221574
"(20, 5)",4000,0.278486506881673
"(5, 20)",4000,0.5366397302309207
"(15, 6)",4000,0.32900755582292046
"(6, 6)",4000,0.25698196294559994
"(6, 6, 2)",4000,0.537472512107615
"(5,)",4000,0.33739487982977956
"(5, 10, 2)",4000,0.5232195747399064
"(10, 10)",4000,0.3368337152221574
"(5, 10)",4000,0.46847747333996825
"(2,)",4000,0.6741457129612073
"(2, 2)",4000,0.7441273680748951
"(2, 2, 2)",4000,0.644156517949126
"(2, 2, 2, 2)",4000,0.7232445100440086
