Layers,Max_iter,MSE
"(30, 3, 1)",4000,0.3018872811276413
"(40, 2)",4000,0.2663162564078099
"(10, 10)",4000,0.27187453425059
"(3, 10, 2)",4000,0.31917228312369744
"(10,)",4000,0.2290792804085759
"(20,)",4000,0.22501851565534203
"(30,)",4000,0.23747109757822707
"(40,)",4000,0.22160914802490023
"(50,)",4000,0.4964027526378413
"(8,)",4000,0.26714860616423547
"(8, 8)",4000,0.2686666505332365
"(8, 5, 2)",4000,0.2782938149106888
"(5, 5)",4000,0.22511042641877932
"(10, 10)",4000,0.27187453425059
"(20, 5)",4000,0.2128505880203495
"(5, 20)",4000,0.29863119723614007
"(15, 6)",4000,0.23383988326914265
"(6, 6)",4000,0.2634445553835479
"(6, 6, 2)",4000,0.2677765397584902
"(5,)",4000,0.2880917123502613
"(5, 10, 2)",4000,0.28016217769908414
"(10, 10)",4000,0.27187453425059
"(5, 10)",4000,0.2563326134712509
"(2,)",4000,0.2857134512334362
"(2, 2)",4000,0.3346338276280007
"(2, 2, 2)",4000,0.2804468514046105
"(2, 2, 2, 2)",4000,0.3570796938177656
