Layers,Max_iter,MSE
"(30, 3, 1)",4000,0.31690667484808427
"(40, 2)",4000,0.2816875944391164
"(10, 10)",4000,0.2801624775188751
"(3, 10, 2)",4000,0.3491256079119065
"(10,)",4000,0.233399599885359
"(20,)",4000,0.29973136620396906
"(30,)",4000,0.25148289808866403
"(40,)",4000,0.27155997783737024
"(50,)",4000,0.5282656530028326
"(8,)",4000,0.2719480563130843
"(8, 8)",4000,0.2863187061304446
"(8, 5, 2)",4000,0.3377993964892376
"(5, 5)",4000,0.2709120691887437
"(10, 10)",4000,0.2801624775188751
"(20, 5)",4000,0.282111962222795
"(5, 20)",4000,0.3444410510293338
"(15, 6)",4000,0.32853651926884053
"(6, 6)",4000,0.2575999696115887
"(6, 6, 2)",4000,0.3002244694858997
"(5,)",4000,0.27480973069254827
"(5, 10, 2)",4000,0.3043069818704599
"(10, 10)",4000,0.2801624775188751
"(5, 10)",4000,0.31712874141928693
"(2,)",4000,0.30219607782504965
"(2, 2)",4000,0.36290928006630313
"(2, 2, 2)",4000,0.35810125167360723
"(2, 2, 2, 2)",4000,0.35631921639659103
