Layers,Max_iter,MSE
"(30, 3, 1)",4000,0.37780965844049497
"(40, 2)",4000,0.3943380125366713
"(10, 10)",4000,0.3570951187155931
"(3, 10, 2)",4000,0.385387976918105
"(10,)",4000,0.28268997414870917
"(20,)",4000,0.2608014797105008
"(30,)",4000,0.27233540629482017
"(40,)",4000,0.3897335921937752
"(50,)",4000,0.44026134433385883
"(8,)",4000,0.2873401462755241
"(8, 8)",4000,0.31522932840572554
"(8, 5, 2)",4000,0.38762247766823416
"(5, 5)",4000,0.31140425608299765
"(10, 10)",4000,0.3570951187155931
"(20, 5)",4000,0.29157072748697543
"(5, 20)",4000,0.33008333028127484
"(15, 6)",4000,0.34649842196001185
"(6, 6)",4000,0.3084148006772218
"(6, 6, 2)",4000,0.3590899134972349
"(5,)",4000,0.30891370609115126
"(5, 10, 2)",4000,0.35406955062369205
"(10, 10)",4000,0.3570951187155931
"(5, 10)",4000,0.3665754492101805
"(2,)",4000,0.3951085284715435
"(2, 2)",4000,0.37572889615187044
"(2, 2, 2)",4000,0.38399923952210613
"(2, 2, 2, 2)",4000,0.40023450558638785
