Combination,MSE
"('Silicon, Si', 'Aluminum, Al')",0.7437170147895813
"('Copper, Cu', 'Aluminum, Al')",0.7479166984558105
"('Iron, Fe', 'Aluminum, Al')",0.8377325534820557
"('Magnesium, Mg', 'Aluminum, Al')",0.7287531495094299
"('Zinc, Zn', 'Aluminum, Al')",0.7498317956924438
"('Manganese, Mn', 'Aluminum, Al')",0.7573133707046509
"('Bismuth, Bi', 'Aluminum, Al')",0.7455897331237793
"('Titanium, Ti', 'Aluminum, Al')",0.7434437274932861
"('Lithium, Li', 'Aluminum, Al')",0.7624711990356445
"('Nickel, Ni', 'Aluminum, Al')",0.7532424330711365
"('Chromium, Cr', 'Aluminum, Al')",0.7642217874526978
"('Zirconium, Zr', 'Aluminum, Al')",0.7284337282180786
"('Vanadium, V', 'Aluminum, Al')",0.7440364360809326
"('Tin, Sn', 'Aluminum, Al')",0.7446525692939758
"('Lead, Pb', 'Aluminum, Al')",0.719780683517456
"('Scandium, Sc', 'Aluminum, Al')",0.7442107796669006
"('Beryllium, Be', 'Aluminum, Al')",0.741453230381012
"('Gallium, Ga', 'Aluminum, Al')",0.7443037629127502
"('Boron, B', 'Aluminum, Al')",0.7437182068824768
"('Silver, Ag', 'Aluminum, Al')",0.7672775983810425
