Combination,MSE
"('Silicon, Si', 'Aluminum, Al')",0.3665098249912262
"('Copper, Cu', 'Aluminum, Al')",0.39031270146369934
"('Iron, Fe', 'Aluminum, Al')",0.3908654451370239
"('Magnesium, Mg', 'Aluminum, Al')",0.40403708815574646
"('Zinc, Zn', 'Aluminum, Al')",0.3912616968154907
"('Manganese, Mn', 'Aluminum, Al')",0.3907044529914856
"('Bismuth, Bi', 'Aluminum, Al')",0.3915296196937561
"('Titanium, Ti', 'Aluminum, Al')",0.39959898591041565
"('Lithium, Li', 'Aluminum, Al')",0.3909572958946228
"('Nickel, Ni', 'Aluminum, Al')",0.3915078043937683
"('Chromium, Cr', 'Aluminum, Al')",0.3913535177707672
"('Zirconium, Zr', 'Aluminum, Al')",0.39124229550361633
"('Vanadium, V', 'Aluminum, Al')",0.3861335515975952
"('Tin, Sn', 'Aluminum, Al')",0.3974275290966034
"('Lead, Pb', 'Aluminum, Al')",0.391324907541275
"('Scandium, Sc', 'Aluminum, Al')",0.4116896092891693
"('Beryllium, Be', 'Aluminum, Al')",0.3916584849357605
"('Gallium, Ga', 'Aluminum, Al')",0.39120718836784363
"('Boron, B', 'Aluminum, Al')",0.39260178804397583
"('Silver, Ag', 'Aluminum, Al')",0.3879837989807129
