Combination,MSE
"('Silicon, Si', 'Zirconium, Zr', 'Aluminum, Al')",0.5702052712440491
"('Silicon, Si', 'Copper, Cu', 'Aluminum, Al')",0.5744433403015137
"('Silicon, Si', 'Magnesium, Mg', 'Aluminum, Al')",0.5675439834594727
"('Silicon, Si', 'Gallium, Ga', 'Aluminum, Al')",0.5676480531692505
"('Silicon, Si', 'Zinc, Zn', 'Aluminum, Al')",0.5674466490745544
"('Silicon, Si', 'Iron, Fe', 'Aluminum, Al')",0.5678337812423706
"('Silicon, Si', 'Chromium, Cr', 'Aluminum, Al')",0.576627254486084
"('Silicon, Si', 'Titanium, Ti', 'Aluminum, Al')",0.5675162672996521
"('Zirconium, Zr', 'Copper, Cu', 'Aluminum, Al')",0.5720277428627014
"('Zirconium, Zr', 'Magnesium, Mg', 'Aluminum, Al')",0.5674481391906738
"('Zirconium, Zr', 'Gallium, Ga', 'Aluminum, Al')",0.5782763361930847
"('Zirconium, Zr', 'Zinc, Zn', 'Aluminum, Al')",0.5735305547714233
"('Zirconium, Zr', 'Iron, Fe', 'Aluminum, Al')",0.5665103793144226
"('Zirconium, Zr', 'Chromium, Cr', 'Aluminum, Al')",0.5823385715484619
"('Zirconium, Zr', 'Titanium, Ti', 'Aluminum, Al')",0.573638916015625
"('Copper, Cu', 'Magnesium, Mg', 'Aluminum, Al')",0.5673936009407043
"('Copper, Cu', 'Gallium, Ga', 'Aluminum, Al')",0.5675493478775024
"('Copper, Cu', 'Zinc, Zn', 'Aluminum, Al')",0.571751594543457
"('Copper, Cu', 'Iron, Fe', 'Aluminum, Al')",0.5804780125617981
"('Copper, Cu', 'Chromium, Cr', 'Aluminum, Al')",0.5674307346343994
"('Copper, Cu', 'Titanium, Ti', 'Aluminum, Al')",0.5709848403930664
"('Magnesium, Mg', 'Gallium, Ga', 'Aluminum, Al')",0.5674617290496826
"('Magnesium, Mg', 'Zinc, Zn', 'Aluminum, Al')",0.5662409067153931
"('Magnesium, Mg', 'Iron, Fe', 'Aluminum, Al')",0.5672842860221863
"('Magnesium, Mg', 'Chromium, Cr', 'Aluminum, Al')",0.5673389434814453
"('Magnesium, Mg', 'Titanium, Ti', 'Aluminum, Al')",0.5729590654373169
"('Gallium, Ga', 'Zinc, Zn', 'Aluminum, Al')",0.5693394541740417
"('Gallium, Ga', 'Iron, Fe', 'Aluminum, Al')",0.5675223469734192
"('Gallium, Ga', 'Chromium, Cr', 'Aluminum, Al')",0.5835620760917664
"('Gallium, Ga', 'Titanium, Ti', 'Aluminum, Al')",0.5671454071998596
"('Zinc, Zn', 'Iron, Fe', 'Aluminum, Al')",0.5696674585342407
"('Zinc, Zn', 'Chromium, Cr', 'Aluminum, Al')",0.567558765411377
"('Zinc, Zn', 'Titanium, Ti', 'Aluminum, Al')",0.5969918966293335
"('Iron, Fe', 'Chromium, Cr', 'Aluminum, Al')",0.5763625502586365
"('Iron, Fe', 'Titanium, Ti', 'Aluminum, Al')",0.5665586590766907
"('Chromium, Cr', 'Titanium, Ti', 'Aluminum, Al')",0.5675269365310669
