Combination,MSE
"('Zinc, Zn', 'Magnesium, Mg', 'Aluminum, Al')",0.26409822702407837
"('Zinc, Zn', 'Copper, Cu', 'Aluminum, Al')",0.3690454363822937
"('Zinc, Zn', 'Silicon, Si', 'Aluminum, Al')",0.29139718413352966
"('Zinc, Zn', 'Iron, Fe', 'Aluminum, Al')",0.3689785599708557
"('Zinc, Zn', 'Manganese, Mn', 'Aluminum, Al')",0.2947821319103241
"('Zinc, Zn', 'Titanium, Ti', 'Aluminum, Al')",0.36897677183151245
"('Zinc, Zn', 'Chromium, Cr', 'Aluminum, Al')",0.3226659297943115
"('Zinc, Zn', 'Nickel, Ni', 'Aluminum, Al')",0.39486706256866455
"('Magnesium, Mg', 'Copper, Cu', 'Aluminum, Al')",0.38151243329048157
"('Magnesium, Mg', 'Silicon, Si', 'Aluminum, Al')",0.3707695007324219
"('Magnesium, Mg', 'Iron, Fe', 'Aluminum, Al')",0.3689768314361572
"('Magnesium, Mg', 'Manganese, Mn', 'Aluminum, Al')",0.4083510935306549
"('Magnesium, Mg', 'Titanium, Ti', 'Aluminum, Al')",0.36897674202919006
"('Magnesium, Mg', 'Chromium, Cr', 'Aluminum, Al')",0.36897698044776917
"('Magnesium, Mg', 'Nickel, Ni', 'Aluminum, Al')",0.36897820234298706
"('Copper, Cu', 'Silicon, Si', 'Aluminum, Al')",0.36897826194763184
"('Copper, Cu', 'Iron, Fe', 'Aluminum, Al')",0.4025495946407318
"('Copper, Cu', 'Manganese, Mn', 'Aluminum, Al')",0.3701787292957306
"('Copper, Cu', 'Titanium, Ti', 'Aluminum, Al')",0.3692249655723572
"('Copper, Cu', 'Chromium, Cr', 'Aluminum, Al')",0.36898157000541687
"('Copper, Cu', 'Nickel, Ni', 'Aluminum, Al')",0.363402396440506
"('Silicon, Si', 'Iron, Fe', 'Aluminum, Al')",0.34377869963645935
"('Silicon, Si', 'Manganese, Mn', 'Aluminum, Al')",0.36897677183151245
"('Silicon, Si', 'Titanium, Ti', 'Aluminum, Al')",0.368976891040802
"('Silicon, Si', 'Chromium, Cr', 'Aluminum, Al')",0.36899906396865845
"('Silicon, Si', 'Nickel, Ni', 'Aluminum, Al')",0.36897778511047363
"('Iron, Fe', 'Manganese, Mn', 'Aluminum, Al')",0.3657086193561554
"('Iron, Fe', 'Titanium, Ti', 'Aluminum, Al')",0.36897921562194824
"('Iron, Fe', 'Chromium, Cr', 'Aluminum, Al')",0.3280465602874756
"('Iron, Fe', 'Nickel, Ni', 'Aluminum, Al')",0.3689804971218109
"('Manganese, Mn', 'Titanium, Ti', 'Aluminum, Al')",0.368976891040802
"('Manganese, Mn', 'Chromium, Cr', 'Aluminum, Al')",0.3631543517112732
"('Manganese, Mn', 'Nickel, Ni', 'Aluminum, Al')",0.36071887612342834
"('Titanium, Ti', 'Chromium, Cr', 'Aluminum, Al')",0.36897706985473633
"('Titanium, Ti', 'Nickel, Ni', 'Aluminum, Al')",0.36897847056388855
"('Chromium, Cr', 'Nickel, Ni', 'Aluminum, Al')",0.36897769570350647
