Combination,MSE
"('Zinc, Zn', 'Magnesium, Mg', 'Aluminum, Al')",0.4186268746852875
"('Zinc, Zn', 'Copper, Cu', 'Aluminum, Al')",0.41904938220977783
"('Zinc, Zn', 'Manganese, Mn', 'Aluminum, Al')",0.3049044907093048
"('Zinc, Zn', 'Silicon, Si', 'Aluminum, Al')",0.33101189136505127
"('Zinc, Zn', 'Iron, Fe', 'Aluminum, Al')",0.3810059130191803
"('Zinc, Zn', 'Titanium, Ti', 'Aluminum, Al')",0.4190569818019867
"('Zinc, Zn', 'Chromium, Cr', 'Aluminum, Al')",0.4190499186515808
"('Zinc, Zn', 'Lithium, Li', 'Aluminum, Al')",0.4190584719181061
"('Zinc, Zn', 'Nickel, Ni', 'Aluminum, Al')",0.41907569766044617
"('Magnesium, Mg', 'Copper, Cu', 'Aluminum, Al')",0.42292746901512146
"('Magnesium, Mg', 'Manganese, Mn', 'Aluminum, Al')",0.4190603792667389
"('Magnesium, Mg', 'Silicon, Si', 'Aluminum, Al')",0.3997160494327545
"('Magnesium, Mg', 'Iron, Fe', 'Aluminum, Al')",0.41907575726509094
"('Magnesium, Mg', 'Titanium, Ti', 'Aluminum, Al')",0.3695807456970215
"('Magnesium, Mg', 'Chromium, Cr', 'Aluminum, Al')",0.4216817617416382
"('Magnesium, Mg', 'Lithium, Li', 'Aluminum, Al')",0.4297885596752167
"('Magnesium, Mg', 'Nickel, Ni', 'Aluminum, Al')",0.4273608922958374
"('Copper, Cu', 'Manganese, Mn', 'Aluminum, Al')",0.42593273520469666
"('Copper, Cu', 'Silicon, Si', 'Aluminum, Al')",0.41878944635391235
"('Copper, Cu', 'Iron, Fe', 'Aluminum, Al')",0.41906222701072693
"('Copper, Cu', 'Titanium, Ti', 'Aluminum, Al')",0.41904839873313904
"('Copper, Cu', 'Chromium, Cr', 'Aluminum, Al')",0.3692828416824341
"('Copper, Cu', 'Lithium, Li', 'Aluminum, Al')",0.429242879152298
"('Copper, Cu', 'Nickel, Ni', 'Aluminum, Al')",0.41907158493995667
"('Manganese, Mn', 'Silicon, Si', 'Aluminum, Al')",0.4116896092891693
"('Manganese, Mn', 'Iron, Fe', 'Aluminum, Al')",0.4190581738948822
"('Manganese, Mn', 'Titanium, Ti', 'Aluminum, Al')",0.42809349298477173
"('Manganese, Mn', 'Chromium, Cr', 'Aluminum, Al')",0.43004757165908813
"('Manganese, Mn', 'Lithium, Li', 'Aluminum, Al')",0.431316614151001
"('Manganese, Mn', 'Nickel, Ni', 'Aluminum, Al')",0.41906511783599854
"('Silicon, Si', 'Iron, Fe', 'Aluminum, Al')",0.41905951499938965
"('Silicon, Si', 'Titanium, Ti', 'Aluminum, Al')",0.4367990493774414
"('Silicon, Si', 'Chromium, Cr', 'Aluminum, Al')",0.4190446436405182
"('Silicon, Si', 'Lithium, Li', 'Aluminum, Al')",0.4227370023727417
"('Silicon, Si', 'Nickel, Ni', 'Aluminum, Al')",0.41905477643013
"('Iron, Fe', 'Titanium, Ti', 'Aluminum, Al')",0.42285802960395813
"('Iron, Fe', 'Chromium, Cr', 'Aluminum, Al')",0.43038037419319153
"('Iron, Fe', 'Lithium, Li', 'Aluminum, Al')",0.41905727982521057
"('Iron, Fe', 'Nickel, Ni', 'Aluminum, Al')",0.41875338554382324
"('Titanium, Ti', 'Chromium, Cr', 'Aluminum, Al')",0.41905662417411804
"('Titanium, Ti', 'Lithium, Li', 'Aluminum, Al')",0.43439626693725586
"('Titanium, Ti', 'Nickel, Ni', 'Aluminum, Al')",0.4190608263015747
"('Chromium, Cr', 'Lithium, Li', 'Aluminum, Al')",0.4190707206726074
"('Chromium, Cr', 'Nickel, Ni', 'Aluminum, Al')",0.45980221033096313
"('Lithium, Li', 'Nickel, Ni', 'Aluminum, Al')",0.4325728118419647
