Metal Type,Density,Young's Modulus,Yield Strength,Tensile Strength,Specific Heat,Coefficient of Thermal Expansion,"Aluminum, Al","Chromium, Cr","Copper, Cu","Iron, Fe","Magnesium, Mg","Manganese, Mn","Silicon, Si","Titanium, Ti","Zinc, Zn","Zirconium, Zr","Vanadium, V","Boron, B","Nickel, Ni","Gallium, Ga","Oxygen, O","Beryllium, Be","Bismuth, Bi","Lead, Pb","Tin, Sn","Scandium, Sc","Lithium, Li","Silver, Ag","Carbon, C","Cobalt, Co","Molybdenum, Mo","Niobium, Nb (Columbium, Cb)","Phosphorus, P","Sulfur, S","Tungsten, W","Hydrogen, H","Nitrogen, N","Yttrium, Y","Palladium, Pd","Tantalum, Ta"
Aluminum,2.8,0.2919026706669448,1.984998632922081,1.93128737874275,-0.9846626976921032,0.3044059424042831,91.4,0.18,1.2,0.2,2.1,0.1,0.15,0.1,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminum,2.72,-0.7596610787081491,-0.7387879337489418,-1.0553904631696085,-0.2885747463895575,0.4481907752633751,95.9,0.2,0.3,0.7,0.2,0.3,0.6,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminum,2.67,-0.2847613209258506,-0.100160009924945,-0.2299267380179514,-0.2252940235438715,0.5919756081224646,97.7,0.15,0.04,0.4,2.2,0.01,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminum,2.68,-0.3865255547363428,0.7539086592854605,0.2803599284394363,-0.647165509181778,0.5919756081224646,97.7,0.15,0.1,0.4,2.2,0.1,0.25,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminum,2.78,0.2919026706669448,-1.1311978628456143,-0.7327091887921424,-0.7526333805912546,0.4481907752633751,94.7,0.06,0.1,0.4,1.0,0.2,0.35,0.01,4.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminum,2.78,0.6650381946387511,0.4846077275524497,1.11332786927429,-0.7471490512779586,-1.004036036613416,94.7,0.1,3.8,0.5,1.2,0.3,0.5,0.15,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminum,2.81,-0.047311442034699,0.2691669821660411,-0.0198086988884388,1.1036011562155317,1.2390073559883688,92.5,0.06,0.1,0.15,0.8,0.1,0.15,0.1,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminum,2.68,0.4275883157476043,-0.5772073747091354,-0.4850700712466454,1.1036011562155317,-1.1334423861866172,93.3,0.0,0.25,0.6,0.2,0.35,6.5,0.25,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminum,2.7,-0.7596610787081491,-1.3751075638723702,-1.3180380120814992,-0.3098792564142591,-1.497218013320123,98.6,0.04,0.15,0.7,0.8,0.15,0.4,0.15,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminum,2.81,-0.2847613209258506,1.7003090765186124,1.683648261197253,-0.647165509181778,0.3044059424042831,91.5,0.18,1.2,0.12,1.9,0.06,0.1,0.06,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
