Density,Young's Modulus,Yield Strength,Tensile Strength,Specific Heat,Coefficient of Thermal Expansion,"Aluminum, Al","Carbon, C","Chromium, Cr","Cobalt, Co","Iron, Fe","Manganese, Mn","Molybdenum, Mo","Nickel, Ni","Niobium, Nb (Columbium, Cb)","Silicon, Si","Titanium, Ti","Boron, B","Copper, Cu","Phosphorus, P","Sulfur, S","Zirconium, Zr","Tungsten, W","Vanadium, V","Beryllium, Be"
8.44,0.20980400326728596,-0.8417445477709793,-0.50027873523482,-0.7147633651981796,0.2676625251164905,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.19,-2.574842494229547,-0.49431423402418434,-1.4971711600250839,1.6981690297305185,0.5273692555650569,1.6,0.02,18.0,12.0,2.0,1.0,3.5,51.6,0.0,0.75,2.75,0.003,0.5,0.03,0.03,0.02,0.0,0.0,0.0
8.44,0.20980400326728596,1.0318975013635219,0.8924386229280489,-0.7147633651981796,-0.5969156810414505,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,-0.22700329045770745,1.8756568347485951,1.584399247194232,0.6700692765193855,-0.5982399271387602,0.8,0.08,17.0,1.0,17.0,0.35,2.8,50.0,4.75,0.35,0.65,0.006,0.3,0.015,0.015,0.0,0.0,0.0,0.0
8.9,0.04600126812041343,-1.0328312203317165,-0.9400842167599365,0.11613621983235947,-2.849458292546373,0.0,0.004,15.5,0.1,6.0,0.15,16.0,59.0,0.0,0.03,0.0,0.0,0.0,0.005,0.002,0.0,3.5,0.15,0.0
8.44,0.20980400326728596,-0.5315389104970553,-0.17775471544973456,-0.7147633651981796,0.6273056943745179,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.44,0.20980400326728596,-0.08484279282260462,-0.11911398457971904,-0.7147633651981796,-0.4949487315494588,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.25,-2.957048876238916,0.23777106994227637,-0.17189064236273302,1.6117554728873298,0.35654150901353165,1.6,0.05,18.0,10.0,5.0,0.1,9.0,53.0,0.0,0.5,3.0,0.003,0.0,0.0,0.015,0.0,0.0,0.0,0.0
8.88,0.1552030915516618,-1.5887197223265883,-2.0337338474857263,2.0549019182369506,-1.1478020575176666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,-0.22700329045770745,2.5084763347874004,2.3525928215914353,0.6700692765193855,0.7577880764950141,0.8,0.08,17.0,1.0,17.0,0.35,2.8,50.0,4.75,0.35,0.65,0.006,0.3,0.015,0.015,0.0,0.0,0.0,0.0
8.44,0.20980400326728596,-0.605988263442797,-0.3829972734947889,-0.7147633651981796,-0.5982399271387602,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.25,-2.957048876238916,0.24769765033504193,0.10665282926984074,1.6117554728873298,0.16916068624577965,1.6,0.05,18.0,10.0,5.0,0.1,9.0,53.0,0.0,0.5,3.0,0.003,0.0,0.0,0.015,0.0,0.0,0.0,0.0
8.43,1.6731084372460145,0.40404129152109963,0.22979836409687335,-0.45995415912217896,0.10334565521002585,0.0,0.025,19.0,33.0,1.0,0.15,9.0,33.0,0.0,0.15,1.0,0.01,0.0,0.015,0.01,0.0,0.0,0.0,0.0
8.44,0.20980400326728596,-0.5191306850060983,-0.17775471544973456,-0.7147633651981796,0.5849298192609629,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,-0.22700329045770745,1.7714277406245567,1.5638749913897267,0.6700692765193855,0.8663762564734999,0.8,0.08,17.0,1.0,17.0,0.35,2.8,50.0,4.75,0.35,0.65,0.006,0.3,0.015,0.015,0.0,0.0,0.0,0.0
8.9,0.04600126812041343,-0.1617737908665378,-0.34194876188577805,0.2269228311697647,-0.5982399271387602,0.0,0.01,14.5,2.5,4.0,1.0,15.0,57.0,0.0,0.08,0.0,0.0,0.0,0.025,0.01,0.0,3.0,0.35,0.0
8.44,0.20980400326728596,-0.6556211654066249,-0.36833709077728505,-0.7147633651981796,-2.1873352438970755,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.12,0.3190058266985343,-1.1395419595539462,-1.247948053827518,2.0549019182369506,-0.43668190326831996,0.0,0.02,30.0,0.0,10.0,0.5,0.0,60.0,0.0,0.5,0.0,0.0,0.0,0.02,0.015,0.0,0.0,0.0,0.0
8.43,1.6731084372460145,1.9774042837744423,1.625447758803243,-0.45995415912217896,1.4715567229389517,0.0,0.025,19.0,33.0,1.0,0.15,9.0,33.0,0.0,0.15,1.0,0.01,0.0,0.015,0.01,0.0,0.0,0.0,0.0
8.44,0.20980400326728596,-0.8293363222800223,-0.50027873523482,-0.7147633651981796,0.4080326114301391,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
