Density,Young's Modulus,Yield Strength,Tensile Strength,Fatigue Strength,Specific Heat,Coefficient of Thermal Expansion,"Aluminum, Al","Carbon, C","Chromium, Cr","Cobalt, Co","Iron, Fe","Manganese, Mn","Molybdenum, Mo","Nickel, Ni","Niobium, Nb (Columbium, Cb)","Silicon, Si","Titanium, Ti","Boron, B","Copper, Cu","Phosphorus, P","Sulfur, S","Zirconium, Zr","Tungsten, W","Vanadium, V","Beryllium, Be",Nb + Ta,"Nitrogen, N",Y2O3
8.44,0.37277932336964076,-0.7388706251312318,-0.2925180018701769,49.02,-0.5930662583982019,-0.3617308296408536,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.19,-0.5327841493490103,-0.4094914898678774,-1.114126089918773,49.62,1.5864191655936895,0.8295448023536695,1.6,0.02,18.0,12.0,2.0,1.0,3.5,51.6,0.0,0.75,2.75,0.003,0.5,0.03,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0
8.44,0.37277932336964076,1.0374239971818577,0.8553168270212442,48.78,-0.5930662583982019,-0.4087177727907876,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,0.23073015117847984,1.8373447542500039,1.4256094999020346,49.77,0.6569253818816186,-0.6348815924857991,0.8,0.08,17.0,1.0,17.0,0.35,2.8,50.0,4.75,0.35,0.65,0.006,0.3,0.015,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.31951088379795545,-0.9200291495260766,-0.6549921583622046,49.41,0.15692872576969044,-3.2974750376484643,0.0,0.004,15.5,0.1,6.0,0.15,16.0,59.0,0.0,0.03,0.0,0.0,0.0,0.005,0.002,0.0,3.5,0.15,0.0,0.0,0.0,0.0
8.44,0.37277932336964076,-0.4447821115032368,-0.026703620442689893,48.87,-0.5930662583982019,-0.35891161305186164,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.44,0.37277932336964076,-0.021294651878924122,0.02162626708958047,48.87,-0.5930662583982019,-0.3557791501751987,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.28,-2.983132369646537,0.846854640350917,1.2588713879157016,49.32,0.14892877927191103,1.0879729896782768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.3,0.0,0.0,0.4,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.85,0.0,0.0,0.0
8.44,0.37277932336964076,-0.4094914898678774,-0.038786092325757485,48.87,-0.5930662583982019,-0.35891161305186164,0.4,0.1,21.0,1.0,5.0,0.5,9.0,62.0,3.7,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.25,-0.657077175016276,0.28455740229419063,-0.021870631689462856,49.32,1.5069196972718966,0.8295448023536667,1.6,0.05,18.0,10.0,5.0,0.1,9.0,53.0,0.0,0.5,3.0,0.003,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.88,0.3550231768457457,-1.4470357659474435,-1.556344560839047,49.5,1.9069170221614393,1.3648827079752024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
