Alloy Name,Density,Young's Modulus,Yield Strength,Tensile Strength,Fatigue Strength,Specific Heat,Coefficient of Thermal Expansion,Metal Chemical Notations
Aluminum 7175-T736; 7175-T7365x (extended High Temperature Data),"{'metric_value': '2.80', 'metric_unit': 'g/cc', 'comment': 'AA; Typical'}","{'metric_value': '72.0', 'metric_unit': 'GPa', 'comment': 'Compressive Modulus is about 2% higher'}","{'metric_value': '485', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '550', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '160', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '0.864', 'metric_unit': 'J/g-°C', 'comment': ''}","[{'value': '23.4 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '88 - 91.4 %', '88 - 91.4 %', 'As remainder'], ['Chromium, Cr', '0.18 - 0.28 %', '0.18 - 0.28 %', ''], ['Copper, Cu', '1.2 - 2.0 %', '1.2 - 2.0 %', ''], ['Iron, Fe', '<= 0.20 %', '<= 0.20 %', ''], ['Magnesium, Mg', '2.1 - 2.9 %', '2.1 - 2.9 %', ''], ['Manganese, Mn', '<= 0.10 %', '<= 0.10 %', ''], ['Other, each', '<= 0.05 %', '<= 0.05 %', ''], ['Other, total', '<= 0.15 %', '<= 0.15 %', ''], ['Silicon, Si', '<= 0.15 %', '<= 0.15 %', ''], ['Titanium, Ti', '<= 0.10 %', '<= 0.10 %', ''], ['Zinc, Zn', '5.1 - 6.1 %', '5.1 - 6.1 %', '']]"
Aluminum 3105-H12,"{'metric_value': '2.72', 'metric_unit': 'g/cc', 'comment': 'AA; Typical'}","{'metric_value': '68.9', 'metric_unit': 'GPa', 'comment': 'AA; Typical; Average of tension and compression.  Compression modulus is about 2% greater than tensile modulus.'}","{'metric_value': '131', 'metric_unit': 'MPa', 'comment': 'AA; Typical'}","{'metric_value': '152', 'metric_unit': 'MPa', 'comment': 'AA; Typical'}",,"{'metric_value': '0.897', 'metric_unit': 'J/g-°C', 'comment': ''}","[{'value': '23.6 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '<= 95.9 %', '<= 95.9 %', 'As remainder'], ['Chromium, Cr', '<= 0.20 %', '<= 0.20 %', ''], ['Copper, Cu', '<= 0.30 %', '<= 0.30 %', ''], ['Iron, Fe', '<= 0.70 %', '<= 0.70 %', ''], ['Magnesium, Mg', '0.20 - 0.80 %', '0.20 - 0.80 %', ''], ['Manganese, Mn', '0.30 - 0.80 %', '0.30 - 0.80 %', ''], ['Other, each', '<= 0.05 %', '<= 0.05 %', ''], ['Other, total', '<= 0.15 %', '<= 0.15 %', ''], ['Silicon, Si', '<= 0.60 %', '<= 0.60 %', ''], ['Titanium, Ti', '<= 0.10 %', '<= 0.10 %', ''], ['Zinc, Zn', '<= 0.40 %', '<= 0.40 %', '']]"
Aluminum 5652-H34,"{'metric_value': '2.67', 'metric_unit': 'g/cc', 'comment': 'AA; Typical'}","{'metric_value': '70.3', 'metric_unit': 'GPa', 'comment': 'AA; Typical; Average of tension and compression.  Compression modulus is about 2% greater than tensile modulus.'}","{'metric_value': '214', 'metric_unit': 'MPa', 'comment': 'AA; Typical'}","{'metric_value': '262', 'metric_unit': 'MPa', 'comment': 'AA; Typical'}","{'metric_value': '124', 'metric_unit': 'MPa', 'comment': 'completely reversed stress; RR Moore machine/specimen'}","{'metric_value': '0.900', 'metric_unit': 'J/g-°C', 'comment': ''}","[{'value': '23.8 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '96.1 - 97.7 %', '96.1 - 97.7 %', 'As remainder'], ['Chromium, Cr', '0.15 - 0.35 %', '0.15 - 0.35 %', ''], ['Copper, Cu', '<= 0.04 %', '<= 0.04 %', ''], ['Magnesium, Mg', '2.2 - 2.8 %', '2.2 - 2.8 %', ''], ['Manganese, Mn', '<= 0.01 %', '<= 0.01 %', ''], ['Other, each', '<= 0.05 %', '<= 0.05 %', ''], ['Other, total', '<= 0.15 %', '<= 0.15 %', ''], ['Si+Fe', '<= 0.40 %', '<= 0.40 %', ''], ['Zinc, Zn', '<= 0.10 %', '<= 0.10 %', '']]"
Aluminum 383.0-F Die Casting Alloy,"{'metric_value': '2.70', 'metric_unit': 'g/cc', 'comment': ''}",,"{'metric_value': '152', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '310', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '145', 'metric_unit': 'MPa', 'comment': 'Specific test unknown'}","{'metric_value': '0.963', 'metric_unit': 'J/g-°C', 'comment': ''}","[{'value': '21.1 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '79.7 - 88.5 %', '79.7 - 88.5 %', 'As remainder'], ['Copper, Cu', '2.0 - 3.0 %', '2.0 - 3.0 %', ''], ['Iron, Fe', '<= 1.3 %', '<= 1.3 %', ''], ['Magnesium, Mg', '<= 0.10 %', '<= 0.10 %', ''], ['Manganese, Mn', '<= 0.50 %', '<= 0.50 %', ''], ['Nickel, Ni', '<= 0.30 %', '<= 0.30 %', ''], ['Other, total', '<= 0.50 %', '<= 0.50 %', ''], ['Silicon, Si', '9.5 - 11.5 %', '9.5 - 11.5 %', ''], ['Tin, Sn', '<= 0.15 %', '<= 0.15 %', ''], ['Zinc, Zn', '<= 3.0 %', '<= 3.0 %', '']]"
Aluminum 5052-H19 Foil,"{'metric_value': '2.68', 'metric_unit': 'g/cc', 'comment': 'AA; Typical'}","{'metric_value': '70.0', 'metric_unit': 'GPa', 'comment': 'Average of Tension and Compression.  In Al alloys, the compressive modulus is typically 2% greater than the tensile modulus'}","{'metric_value': '325', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '330', 'metric_unit': 'MPa', 'comment': ''}",,"{'metric_value': '0.880', 'metric_unit': 'J/g-°C', 'comment': 'Estimated from trends in similar Al alloys.'}","[{'value': '23.8 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '95.7 - 97.7 %', '95.7 - 97.7 %', 'As remainder'], ['Chromium, Cr', '0.15 - 0.35 %', '0.15 - 0.35 %', ''], ['Copper, Cu', '<= 0.10 %', '<= 0.10 %', ''], ['Iron, Fe', '<= 0.40 %', '<= 0.40 %', ''], ['Magnesium, Mg', '2.2 - 2.8 %', '2.2 - 2.8 %', ''], ['Manganese, Mn', '<= 0.10 %', '<= 0.10 %', ''], ['Other, each', '<= 0.05 %', '<= 0.05 %', ''], ['Other, total', '<= 0.15 %', '<= 0.15 %', ''], ['Silicon, Si', '<= 0.25 %', '<= 0.25 %', ''], ['Zinc, Zn', '<= 0.10 %', '<= 0.10 %', '']]"
Aluminum 7005-O,"{'metric_value': '2.78', 'metric_unit': 'g/cc', 'comment': 'AA; Typical'}","{'metric_value': '72.0', 'metric_unit': 'GPa', 'comment': 'Average of Tension and Compression.  In Al alloys, the compressive modulus is typically 2% greater than the tensile modulus'}","{'metric_value': '80.0', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '195', 'metric_unit': 'MPa', 'comment': ''}",,"{'metric_value': '0.875', 'metric_unit': 'J/g-°C', 'comment': ''}","[{'value': '23.6 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '91 - 94.7 %', '91 - 94.7 %', 'As remainder'], ['Chromium, Cr', '0.06 - 0.20 %', '0.06 - 0.20 %', ''], ['Copper, Cu', '<= 0.10 %', '<= 0.10 %', ''], ['Iron, Fe', '<= 0.40 %', '<= 0.40 %', ''], ['Magnesium, Mg', '1.0 - 1.8 %', '1.0 - 1.8 %', ''], ['Manganese, Mn', '0.20 - 0.70 %', '0.20 - 0.70 %', ''], ['Other, each', '<= 0.05 %', '<= 0.05 %', ''], ['Other, total', '<= 0.15 %', '<= 0.15 %', ''], ['Silicon, Si', '<= 0.35 %', '<= 0.35 %', ''], ['Titanium, Ti', '0.01 - 0.06 %', '0.01 - 0.06 %', ''], ['Zinc, Zn', '4.0 - 5.0 %', '4.0 - 5.0 %', ''], ['Zirconium, Zr', '0.08 - 0.20 %', '0.08 - 0.20 %', '']]"
Aluminum 359.0-T6 Casting Alloy,"{'metric_value': '2.67', 'metric_unit': 'g/cc', 'comment': 'AA; Typical'}","{'metric_value': '72.4', 'metric_unit': 'GPa', 'comment': 'Compressive modulus in is typically about 2% higher for Al alloys'}",,,,"{'metric_value': '0.963', 'metric_unit': 'J/g-°C', 'comment': ''}","[{'value': '20.9 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '88.8 - 91 %', '88.8 - 91 %', 'As remainder'], ['Copper, Cu', '<= 0.20 %', '<= 0.20 %', ''], ['Iron, Fe', '<= 0.20 %', '<= 0.20 %', ''], ['Magnesium, Mg', '0.50 - 0.70 %', '0.50 - 0.70 %', ''], ['Manganese, Mn', '<= 0.10 %', '<= 0.10 %', ''], ['Other, each', '<= 0.05 %', '<= 0.05 %', ''], ['Other, total', '<= 0.15 %', '<= 0.15 %', ''], ['Silicon, Si', '8.5 - 9.5 %', '8.5 - 9.5 %', ''], ['Titanium, Ti', '<= 0.20 %', '<= 0.20 %', ''], ['Zinc, Zn', '<= 0.10 %', '<= 0.10 %', '']]"
"Alclad Aluminum 2024-T4, T351","{'metric_value': '2.78', 'metric_unit': 'g/cc', 'comment': 'For AA2024 (Not Alclad)'}","{'metric_value': '73.1', 'metric_unit': 'GPa', 'comment': 'AA; Typical; Average of tension and compression.  Compression modulus is about 2% greater than tensile modulus.'}","{'metric_value': '290', 'metric_unit': 'MPa', 'comment': 'AA; Typical'}","{'metric_value': '441', 'metric_unit': 'MPa', 'comment': 'AA; Typical'}",,,,"[['Aluminum, Al', '90.7 - 94.7 %', '90.7 - 94.7 %', 'As remainder'], ['Chromium, Cr', '<= 0.10 %', '<= 0.10 %', ''], ['Copper, Cu', '3.8 - 4.9 %', '3.8 - 4.9 %', ''], ['Iron, Fe', '<= 0.50 %', '<= 0.50 %', ''], ['Magnesium, Mg', '1.2 - 1.8 %', '1.2 - 1.8 %', ''], ['Manganese, Mn', '0.30 - 0.90 %', '0.30 - 0.90 %', ''], ['Other, each', '<= 0.05 %', '<= 0.05 %', ''], ['Other, total', '<= 0.15 %', '<= 0.15 %', ''], ['Silicon, Si', '<= 0.50 %', '<= 0.50 %', ''], ['Titanium, Ti', '<= 0.15 %', '<= 0.15 %', ''], ['Zinc, Zn', '<= 0.25 %', '<= 0.25 %', '']]"
"Aleris Alustar Aluminum Alloy, MIG-welded","{'metric_value': '2.66', 'metric_unit': 'g/cc', 'comment': 'Aluminum 5083'}",,"{'metric_value': '160', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '300', 'metric_unit': 'MPa', 'comment': ''}",,,,"[['Aluminum, Al', '93 %', '93 %', ''], ['Chromium, Cr', '<= 0.30 %', '<= 0.30 %', ''], ['Copper, Cu', '<= 0.40 %', '<= 0.40 %', ''], ['Iron, Fe', '<= 0.50 %', '<= 0.50 %', ''], ['Magnesium, Mg', '5.0 - 6.0 %', '5.0 - 6.0 %', ''], ['Manganese, Mn', '0.60 - 1.2 %', '0.60 - 1.2 %', ''], ['Silicon, Si', '<= 0.50 %', '<= 0.50 %', ''], ['Titanium, Ti', '<= 0.20 %', '<= 0.20 %', ''], ['Zinc, Zn', '0.40 - 1.5 %', '0.40 - 1.5 %', ''], ['Zirconium, Zr', '0.050 - 0.25 %', '0.050 - 0.25 %', '']]"
Hexcel® HexWeb® ACG®-3/8 Honeycomb Aluminum Commercial Grade,"{'metric_value': '0.0529', 'metric_unit': 'g/cc', 'comment': 'Nominal'}",,"{'metric_value': '2.34', 'metric_unit': 'MPa', 'comment': 'Bare'}",,,,,[]
