Alloy Name,Density,Young's Modulus,Yield Strength,Tensile Strength,Fatigue Strength,Specific Heat,Coefficient of Thermal Expansion,Metal Chemical Notations
"Haynes 625 alloy, 40% cold reduction, 1175°C anneal for 5 minutes","{'metric_value': '8.44', 'metric_unit': 'g/cc', 'comment': 'at RT'}","{'metric_value': '208', 'metric_unit': 'GPa', 'comment': 'RT'}","{'metric_value': '360', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '840', 'metric_unit': 'MPa', 'comment': ''}",,"{'metric_value': '0.410', 'metric_unit': 'J/g-°C', 'comment': 'RT'}","[{'value': '12.8 µm/m-°C', 'start_temp': '25.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '<= 0.40 %', '<= 0.40 %', ''], ['Carbon, C', '<= 0.10 %', '<= 0.10 %', ''], ['Chromium, Cr', '21 %', '21 %', ''], ['Cobalt, Co', '<= 1.0 %', '<= 1.0 %', ''], ['Iron, Fe', '<= 5.0 %', '<= 5.0 %', ''], ['Manganese, Mn', '<= 0.50 %', '<= 0.50 %', ''], ['Molybdenum, Mo', '9.0 %', '9.0 %', ''], ['Nickel, Ni', '62 %', '62 %', 'As Remainder'], ['Niobium, Nb (Columbium, Cb)', '3.7 %', '3.7 %', 'Includes Ta'], ['Silicon, Si', '<= 0.50 %', '<= 0.50 %', ''], ['Titanium, Ti', '<= 0.40 %', '<= 0.40 %', '']]"
Special Metals Waspaloy Age Hardenable Nickel Alloy (UNS N07001),"{'metric_value': '8.19', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '157', 'metric_unit': 'GPa', 'comment': 'Dynamic'}","{'metric_value': '500', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '500', 'metric_unit': 'MPa', 'comment': ''}",,,"[{'value': '12.2 µm/m-°C', 'start_temp': '21.1 °C', 'end_temp': '93.3 °C'}]","[['Aluminum, Al', '1.2 - 1.6 %', '1.2 - 1.6 %', ''], ['Boron, B', '0.0030 - 0.010 %', '0.0030 - 0.010 %', ''], ['Carbon, C', '0.020 - 0.10 %', '0.020 - 0.10 %', ''], ['Chromium, Cr', '18 - 21 %', '18 - 21 %', ''], ['Cobalt, Co', '12 - 15 %', '12 - 15 %', ''], ['Copper, Cu', '<= 0.50 %', '<= 0.50 %', ''], ['Iron, Fe', '<= 2.0 %', '<= 2.0 %', ''], ['Manganese, Mn', '<= 1.0 %', '<= 1.0 %', ''], ['Molybdenum, Mo', '3.5 - 5.0 %', '3.5 - 5.0 %', ''], ['Nickel, Ni', '51.6 - 62.5 %', '51.6 - 62.5 %', 'As Balance'], ['Phosphorus, P', '<= 0.030 %', '<= 0.030 %', ''], ['Silicon, Si', '<= 0.75 %', '<= 0.75 %', ''], ['Sulfur, S', '<= 0.030 %', '<= 0.030 %', ''], ['Titanium, Ti', '2.75 - 3.25 %', '2.75 - 3.25 %', ''], ['Zirconium, Zr', '0.020 - 0.12 %', '0.020 - 0.12 %', '']]"
"Haynes 625 alloy, 30% cold reduction","{'metric_value': '8.44', 'metric_unit': 'g/cc', 'comment': 'at RT'}","{'metric_value': '208', 'metric_unit': 'GPa', 'comment': 'RT'}","{'metric_value': '1115', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '1315', 'metric_unit': 'MPa', 'comment': ''}",,"{'metric_value': '0.410', 'metric_unit': 'J/g-°C', 'comment': 'RT'}","[{'value': '12.8 µm/m-°C', 'start_temp': '25.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '<= 0.40 %', '<= 0.40 %', ''], ['Carbon, C', '<= 0.10 %', '<= 0.10 %', ''], ['Chromium, Cr', '21 %', '21 %', ''], ['Cobalt, Co', '<= 1.0 %', '<= 1.0 %', ''], ['Iron, Fe', '<= 5.0 %', '<= 5.0 %', ''], ['Manganese, Mn', '<= 0.50 %', '<= 0.50 %', ''], ['Molybdenum, Mo', '9.0 %', '9.0 %', ''], ['Nickel, Ni', '62 %', '62 %', 'As Remainder'], ['Niobium, Nb (Columbium, Cb)', '3.7 %', '3.7 %', 'Includes Ta'], ['Silicon, Si', '<= 0.50 %', '<= 0.50 %', ''], ['Titanium, Ti', '<= 0.40 %', '<= 0.40 %', '']]"
"HP Alloys Alloy 718, 20% Cold Worked, Aged","{'metric_value': '8.20', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '200', 'metric_unit': 'GPa', 'comment': ''}","{'metric_value': '1455', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '1551', 'metric_unit': 'MPa', 'comment': ''}",,"{'metric_value': '0.435', 'metric_unit': 'J/g-°C', 'comment': ''}","[{'value': '12.9 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '0.20 - 0.80 %', '0.20 - 0.80 %', ''], ['Boron, B', '<= 0.0060 %', '<= 0.0060 %', ''], ['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Chromium, Cr', '17 - 21 %', '17 - 21 %', ''], ['Cobalt, Co', '<= 1.0 %', '<= 1.0 %', ''], ['Copper, Cu', '<= 0.30 %', '<= 0.30 %', ''], ['Iron, Fe', '17 %', '17 %', ''], ['Manganese, Mn', '<= 0.35 %', '<= 0.35 %', ''], ['Molybdenum, Mo', '2.8 - 3.3 %', '2.8 - 3.3 %', ''], ['Nickel, Ni', '50 - 55 %', '50 - 55 %', ''], ['Niobium, Nb (Columbium, Cb)', '4.75 - 5.5 %', '4.75 - 5.5 %', ''], ['Phosphorus, P', '<= 0.015 %', '<= 0.015 %', ''], ['Silicon, Si', '<= 0.35 %', '<= 0.35 %', ''], ['Sulfur, S', '<= 0.015 %', '<= 0.015 %', ''], ['Titanium, Ti', '0.65 - 1.15 %', '0.65 - 1.15 %', '']]"
California Fine Wire Nickel Alloy 120 Nickel Iron Resistance Wire,"{'metric_value': '8.44', 'metric_unit': 'g/cc', 'comment': ''}",,,,,"{'metric_value': '0.523', 'metric_unit': 'J/g-°C@Temperature 20.0 °C', 'comment': ''}",,"[['Iron, Fe', '30 %', '30 %', ''], ['Nickel, Ni', '70 %', '70 %', ''], [''], [], ['Magnetic', 'Strong', ''], ['Temperature Coefficient of Resistance', '0.0045 ohms/ohm-°C', '0-100°C'], ['Thermal EMF vs. Copper', '-0.04', '']]"
"ATI Allegheny Ludlum AL 276™ Nickel-Base Alloy, UNS N10276","{'metric_value': '8.90', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '205', 'metric_unit': 'GPa', 'comment': ''}","{'metric_value': '283', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '690', 'metric_unit': 'MPa', 'comment': ''}",,"{'metric_value': '0.425', 'metric_unit': 'J/g-°C', 'comment': ''}","[{'value': '11.2 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '93.0 °C'}]","[['Carbon, C', '0.0040 %', '0.0040 %', ''], ['Chromium, Cr', '15.5 %', '15.5 %', ''], ['Cobalt, Co', '0.10 %', '0.10 %', ''], ['Iron, Fe', '6.0 %', '6.0 %', ''], ['Manganese, Mn', '0.15 %', '0.15 %', ''], ['Molybdenum, Mo', '16 %', '16 %', ''], ['Nickel, Ni', '59 %', '59 %', 'as balance'], ['Phosphorus, P', '0.0050 %', '0.0050 %', ''], ['Silicon, Si', '0.030 %', '0.030 %', ''], ['Sulfur, S', '0.0020 %', '0.0020 %', ''], ['Tungsten, W', '3.5 %', '3.5 %', ''], ['Vanadium, V', '0.15 %', '0.15 %', '']]"
FiberNide Nickel Aluminide Foam Atomic 22% Aluminum,"{'metric_value': '0.280', 'metric_unit': 'g/cc', 'comment': 'Ni Foam Starting Material'}",,"{'metric_value': '2.91', 'metric_unit': 'MPa', 'comment': ''}",,,,,"[['Aluminum, Al', '11 %', '11 %', ''], ['Nickel, Ni', '89 %', '89 %', '']]"
Ametek PF60 Nickel Alloy Thermal Spray Powder,,,,,,,,"[['Boron, B', '3.3 %', '3.3 %', ''], ['Carbon, C', '0.90 %', '0.90 %', ''], ['Chromium, Cr', '16.5 %', '16.5 %', ''], ['Iron, Fe', '4.5 %', '4.5 %', ''], ['Nickel, Ni', '70.5 %', '70.5 %', 'as balance'], ['Silicon, Si', '4.3 %', '4.3 %', '']]"
Goodfellow Nickel 78/Boron 14/Silicon 8 Alloy,"{'metric_value': '8.00', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '150', 'metric_unit': 'GPa', 'comment': ''}",,,,,,"[['Boron, B', '14 %', '14 %', ''], ['Nickel, Ni', '78 %', '78 %', ''], ['Silicon, Si', '8.0 %', '8.0 %', '']]"
Sandvik Kanthal SW 782 Spray Wire,"{'metric_value': '8.20', 'metric_unit': 'g/cc', 'comment': ''}",,"{'metric_value': '670', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '730', 'metric_unit': 'MPa', 'comment': ''}",,,,"[['Iron, Fe', '48 %', '48 %', ''], ['Nickel, Ni', '52 %', '52 %', ''], [''], [], ['Deposition efficiency, %', '65-78', ''], ['Oxides, %', '15-22', ''], ['Surface Roughness, microns', '7-13', '']]"
