Alloy Name,Density,Young's Modulus,Yield Strength,Tensile Strength,Fatigue Strength,Specific Heat,Coefficient of Thermal Expansion,Metal Chemical Notations
"Titanium Ti-10V-2Fe-3Al (Ti 10-2-3), Anneal 1 hr. 760°C","{'metric_value': '4.65', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '110', 'metric_unit': 'GPa', 'comment': 'After aging.'}","{'metric_value': '900', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '970', 'metric_unit': 'MPa', 'comment': ''}",,"{'metric_value': '0.525', 'metric_unit': 'J/g-°C', 'comment': 'Typical value for titanium alloys.'}","[{'value': '9.70 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '2.6 - 3.4 %', '2.6 - 3.4 %', ''], ['Carbon, C', '<= 0.050 %', '<= 0.050 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '1.6 - 2.2 %', '1.6 - 2.2 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Other, each', '<= 0.10 %', '<= 0.10 %', ''], ['Other, total', '<= 0.30 %', '<= 0.30 %', ''], ['Oxygen, O', '<= 0.13 %', '<= 0.13 %', ''], ['Titanium, Ti', '82.855 - 86.8 %', '82.855 - 86.8 %', 'As Balance; Elemental Composition per ASTM B265'], ['Vanadium, V', '9.0 - 11 %', '9.0 - 11 %', ''], [''], [], ['Crystal Structure', 'bcc', 'Beta, predominant'], ['', 'cph', 'Alpha']]"
"Titanium Ti-8Mo-8V-2Fe-3Al, ST 785°C, Aged 600°C","{'metric_value': '4.85', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '94.0', 'metric_unit': 'GPa', 'comment': 'Sample was ST 800ºC , Aged 595ºC'}","{'metric_value': '980', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '1090', 'metric_unit': 'MPa', 'comment': ''}",,"{'metric_value': '0.525', 'metric_unit': 'J/g-°C', 'comment': 'Typical value for titanium alloys.'}","[{'value': '8.50 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '3.0 %', '3.0 %', ''], ['Carbon, C', '<= 0.050 %', '<= 0.050 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '2.0 %', '2.0 %', ''], ['Molybdenum, Mo', '8.0 %', '8.0 %', ''], ['Nickel, Ni', '<= 0.050 %', '<= 0.050 %', ''], ['Other, each', '<= 0.10 %', '<= 0.10 %', ''], ['Other, total', '<= 0.30 %', '<= 0.30 %', ''], ['Oxygen, O', '0.10 - 0.16 %', '0.10 - 0.16 %', ''], ['Sulfur, S', '<= 0.010 %', '<= 0.010 %', ''], ['Titanium, Ti', '79 %', '79 %', ''], ['Vanadium, V', '8.0 %', '8.0 %', '']]"
Matexcel MET-0022 Titanium-based TC18 Powder,,,,,,,,"[['Aluminum, Al', '4.4 - 5.7 %', '4.4 - 5.7 %', ''], ['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Chromium, Cr', '0.50 - 1.5 %', '0.50 - 1.5 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '0.50 - 1.5 %', '0.50 - 1.5 %', ''], ['Molybdenum, Mo', '4.0 - 5.5 %', '4.0 - 5.5 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Other, each', '0.10 %', '0.10 %', ''], ['Other, total', '0.30 %', '0.30 %', ''], ['Oxygen, O', '<= 0.18 %', '<= 0.18 %', ''], ['Silicon, Si', '<= 0.15 %', '<= 0.15 %', ''], ['Titanium, Ti', '79.225 - 86.3 %', '79.225 - 86.3 %', ''], ['Vanadium, V', '4.0 - 5.5 %', '4.0 - 5.5 %', ''], ['Zirconium, Zr', '<= 0.30 %', '<= 0.30 %', '']]"
Titanium Transage 134 Triplex Heat Treat 815/565/480°C,"{'metric_value': '4.73', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '105', 'metric_unit': 'GPa', 'comment': 'Typical Value for STA beta titanium alloy.'}","{'metric_value': '1210', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '1270', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '980', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '0.525', 'metric_unit': 'J/g-°C', 'comment': 'Typical value for titanium alloys.'}","[{'value': '8.50 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '2.5 %', '2.5 %', ''], ['Boron, B', '<= 0.030 %', '<= 0.030 %', ''], ['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '<= 0.20 %', '<= 0.20 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Other, each', '<= 0.10 %', '<= 0.10 %', ''], ['Other, total', '<= 0.40 %', '<= 0.40 %', ''], ['Oxygen, O', '<= 0.15 %', '<= 0.15 %', ''], ['Tin, Sn', '2.0 %', '2.0 %', ''], ['Titanium, Ti', '77.5 %', '77.5 %', ''], ['Vanadium, V', '12 %', '12 %', ''], ['Yttrium, Y', '<= 0.0050 %', '<= 0.0050 %', ''], ['Zirconium, Zr', '6.0 %', '6.0 %', '']]"
"Titanium Ti-16V-2.5Al, Duplex Annealed","{'metric_value': '4.65', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '95.8', 'metric_unit': 'GPa', 'comment': 'Longitudinal'}","{'metric_value': '1000', 'metric_unit': 'MPa', 'comment': 'Longitudinal'}",,,"{'metric_value': '0.527', 'metric_unit': 'J/g-°C', 'comment': ''}",,"[['Aluminum, Al', '2.5 %', '2.5 %', ''], ['Titanium, Ti', '81.5 %', '81.5 %', ''], ['Vanadium, V', '16 %', '16 %', '']]"
"Titanium Ti-8Al-1Mo-1V (Ti-8-1-1), Beta Solution Treated","{'metric_value': '4.37', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '120', 'metric_unit': 'GPa', 'comment': 'unspecified heat treatment'}","{'metric_value': '870', 'metric_unit': 'MPa', 'comment': ''}",,,"{'metric_value': '0.502', 'metric_unit': 'J/g-°C', 'comment': ''}",,"[['Aluminum, Al', '7.35 - 8.35 %', '7.35 - 8.35 %', ''], ['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '<= 0.30 %', '<= 0.30 %', ''], ['Molybdenum, Mo', '0.75 - 1.25 %', '0.75 - 1.25 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Other, each', '<= 0.10 %', '<= 0.10 %', ''], ['Other, total', '<= 0.40 %', '<= 0.40 %', ''], ['Oxygen, O', '<= 0.12 %', '<= 0.12 %', ''], ['Titanium, Ti', '88.185 - 91.15 %', '88.185 - 91.15 %', 'As Balance; Elemental Composition per ASTM B265'], ['Vanadium, V', '0.75 - 1.25 %', '0.75 - 1.25 %', '']]"
Universal Wire Works 6Al-4V (AMS 4954) Titanium Alloy Filler Metal,,,"{'metric_value': '827', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '896', 'metric_unit': 'MPa', 'comment': ''}",,,,"[['Aluminum, Al', '<= 6.75 %', '<= 6.75 %', ''], ['Carbon, C', '<= 0.050 %', '<= 0.050 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '<= 0.30 %', '<= 0.30 %', ''], ['Nitrogen, N', '<= 0.030 %', '<= 0.030 %', ''], ['Other', '<= 0.40 %', '<= 0.40 %', ''], ['Oxygen, O', '<= 0.18 %', '<= 0.18 %', ''], ['Titanium, Ti', '>= 87.775 %', '>= 87.775 %', 'As Remainder'], ['Vanadium, V', '<= 4.5 %', '<= 4.5 %', '']]"
Matexcel MET-0060 Pure Ti Powder,,,,,,,,[]
"Titanium Ti-8V-5Fe-1Al, Annealed","{'metric_value': '4.65', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '114', 'metric_unit': 'GPa', 'comment': ''}","{'metric_value': '1233', 'metric_unit': 'MPa', 'comment': ''}",,,,,"[['Aluminum, Al', '0.80 - 1.5 %', '0.80 - 1.5 %', ''], ['Carbon, C', '<= 0.050 %', '<= 0.050 %', ''], ['Iron, Fe', '4.0 - 6.0 %', '4.0 - 6.0 %', ''], ['Nitrogen, N', '<= 0.070 %', '<= 0.070 %', ''], ['Oxygen, O', '0.25 - 0.50 %', '0.25 - 0.50 %', ''], ['Titanium, Ti', '86 %', '86 %', ''], ['Vanadium, V', '7.5 - 8.5 %', '7.5 - 8.5 %', '']]"
"ATI Wah Chang 425™ Titanium Alloy, Hot Rolled & Annealed Plate","{'metric_value': '4.48', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '114', 'metric_unit': 'GPa', 'comment': 'Long.'}","{'metric_value': '876', 'metric_unit': 'MPa', 'comment': 'Long.'}","{'metric_value': '965', 'metric_unit': 'MPa', 'comment': 'Long.'}",,,,"[['Aluminum, Al', '4.0 %', '4.0 %', ''], ['Iron, Fe', '1.5 %', '1.5 %', ''], ['O2', '0.25 %', '0.25 %', ''], ['Titanium, Ti', '91.75 %', '91.75 %', ''], ['Vanadium, V', '2.5 %', '2.5 %', '']]"
